id	length	protein_family	keywords
A0A2P1BSS8	82	Three-finger toxin family, Short-chain subfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A2P1BSS9	81	Three-finger toxin family, Short-chain subfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A2P1BST7	81	Three-finger toxin family, Short-chain subfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A2P1BSU3	79	Three-finger toxin family, Short-chain subfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A2R4SV19	87	Serine protease inhibitor-like (TIL domain-containing) family	Antibiotic;Antimicrobial;Disulfide bond;Fungicide;Hemostasis impairing toxin;Protease inhibitor;Secreted;Serine protease inhibitor;Signal;Toxin
A0A2U8QPE6	501	Flavin monoamine oxidase family, FIG1 subfamily	Antibiotic;Antimicrobial;Apoptosis;Cytolysis;Disulfide bond;FAD;Flavoprotein;Glycoprotein;Hemolysis;Hemostasis impairing toxin;Oxidoreductase;Secreted;Signal;Toxin
A0A346CED7	68	Conotoxin U superfamily	Direct protein sequencing;Disulfide bond;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A346CIA0	111	Three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A346CIB0	86	Three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A346CIB2	107	Three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily	Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
A0A346CIB3	111	Three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A348G5V8	81	Formicidae venom precursor-01 superfamily	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
A0A348G5W2	81	Formicidae venom precursor-01 superfamily	Amidation;Antibiotic;Antimicrobial;Secreted;Signal;Toxin
A0A384E0Y8	62	Invertebrate defensin family, Type 2 subfamily	3D-structure;Antibiotic;Antimicrobial;Calcium-activated potassium channel impairing toxin;Defensin;Disulfide bond;Immunity;Innate immunity;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A384E129	76	Conotoxin O1 superfamily	3D-structure;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A3F2YLP5	36	Neurotoxin 10 (Hwtx-1) family	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Pharmaceutical;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
A0A3G1VU73	122	Conotoxin R superfamily	Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
A0A3G1VU77	112	Conotoxin R superfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0A3G1VU78	112	Conotoxin R superfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0A3G1VU81	117	Conotoxin R superfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0A3G1VU84	117	Conotoxin R superfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0A3G3C7R5	63	Conotoxin T superfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A3G3C7S0	65	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Hydroxylation;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A3G3C7S2	64	Conotoxin T superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Secreted;Signal;Toxin
A0A3G3C7S6	76	Conotoxin O1 superfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A3G3C7S9	61	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A3G3C7T2	61		Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
A0A3G3C7T5	69	Conotoxin M family	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A3G3C7T9	65		Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Toxin
A0A3G3C7U1	63	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A3G3C7U2	69	Conotoxin M family	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A3G3C7U4	61	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A3G3C7U7	85	Conotoxin O1 family	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A3G3C7U9	70	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A3G3C7V0	61	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
A0A3G3C7V6	80	Conotoxin O2 family	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
A0A3G3C7V7	69	Conotoxin M family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A3G3C7W0	58		Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Toxin
A0A3G5BIB1	69	Asilidin-12 family	3D-structure;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A3G5BIB4	69	Asilidin-12 family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A3G5BIC2	80	Asilidin-1 family	3D-structure;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A3G6IHA6	34	Conotoxin O1 superfamily	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Pyrrolidone carboxylic acid;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A3S9V8K6	109	Insulin family	Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A3S9V8L7	108	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Secreted;Signal;Toxin
A0A3S9V8L9	115	Insulin family	Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin
A0A411EZW9	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Neurotoxin;Platelet aggregation inhibiting toxin;Presynaptic neurotoxin;Secreted;Signal;Toxin
A0A452CSQ9	92	Neurotoxin 21 family	3D-structure;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin
A0A4P1LYC9	57	Three-finger toxin family, Short-chain subfamily	3D-structure;Direct protein sequencing;Disulfide bond;G-protein coupled acetylcholine receptor impairing toxin;G-protein coupled receptor impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
A0A4P8XV20	42	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
A0A4V8GZX0	33	Neurotoxin 10 (Hwtx-1) family, 14 (Hntx-1) subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A4Y5X186	160	Vasopressin/oxytocin family	Amidation;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Signal;Toxin
A0A4Y5X1A7	101	Vasopressin/oxytocin family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Signal;Toxin
A0A5C1ZW08	178	Phospholipase A2 family, Group IX subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Hydroxylation;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A5C1ZXT8	178	Phospholipase A2 family, Group IX subfamily	Calcium;Disulfide bond;Hydrolase;Hydroxylation;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A5C2A2T2	178	Phospholipase A2 family, Group IX subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Hydroxylation;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0A679PF76	74	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
A0A6B7FMR5	324	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIe sub-subfamily	Calcium;Cell adhesion impairing toxin;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Metal-binding;Platelet aggregation inhibiting toxin;Secreted;Signal;Toxin
A0A6B9KZ66	68	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9KZ83	54	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9KZ90	628	Redulysin-like family	Disulfide bond;Secreted;Signal;Toxin
A0A6B9KZA1	54	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9L1H0	63	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9L3U7	55	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9L4Z7	59	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9L6D3	48	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
A0A6B9L900	242	Redulysin-like family	Disulfide bond;Secreted;Signal;Toxin
A0A6G9KHD3	37		Amidation;Direct protein sequencing;Secreted;Signal;Toxin
A0A6G9KHD6	82	Formicidae venom precursor-01 superfamily	Amidation;Antimicrobial;Secreted;Signal;Toxin
A0A6G9KHE4	104	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A6G9KIR5	60	Formicidae venom precursor-01 superfamily	Antimicrobial;Direct protein sequencing;Secreted;Signal;Toxin
A0A6G9KIT6	57		Amidation;Antimicrobial;Secreted;Signal;Toxin
A0A6G9KJK9	82	Formicidae venom precursor-01 superfamily	Amidation;Antimicrobial;Secreted;Signal;Toxin
A0A6G9KJV6	81	Formicidae venom precursor-01 superfamily	Amidation;Antimicrobial;Secreted;Signal;Toxin
A0A6M3Z4D9	72	Formicidae venom precursor-01 superfamily	Neurotoxin;Secreted;Signal;Toxin
A0A6M3Z4R1	73		Amidation;Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A6M3Z541	53		Amidation;Neurotoxin;Secreted;Signal;Toxin
A0A6M3Z554	58	Formicidae venom precursor-01 superfamily	3D-structure;Cytolysis;Direct protein sequencing;Disulfide bond;Ion transport;Membrane;Neurotoxin;Secreted;Target cell membrane;Target membrane;Toxin;Transmembrane;Transport
A0A6M3Z9I6	66	Formicidae venom precursor-01 superfamily	Neurotoxin;Secreted;Signal;Toxin
A0A6M6RE84	57	Secapin family	Amidation;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Secreted;Signal;Toxin
A0A7M4DUE8	22	Conotoxin M superfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MU55	86	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MU59	72	Long (3 C-C) scorpion toxin superfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MU78	87	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MU85	90	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MU86	87	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MUG8	85	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MV32	73	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MVA6	102	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MVF3	76	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8MVN3	93	Long (4 C-C) scorpion toxin superfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8RFI7	85	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8RFY1	89		Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A7S8RGC8	98	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
A0A7T7DMY7	81	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cytolysis;Disulfide bond;Membrane;Pharmaceutical;Secreted;Signal;Target cell membrane;Target membrane;Toxin
A0A835CKX4	85		Disulfide bond;Reference proteome;Secreted;Signal;Toxin
A0A8U0LTF0	76	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A8U0LTF5	76		Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0A8U0LTM5	93	EGF domain peptide family	Disulfide bond;EGF-like domain;Neurotoxin;Secreted;Signal;Toxin
A0A8U0LTN3	89	EGF domain peptide family	Disulfide bond;EGF-like domain;Neurotoxin;Secreted;Signal;Toxin
A0A8U0LTT7	89	EGF domain peptide family	Disulfide bond;EGF-like domain;Neurotoxin;Secreted;Signal;Toxin
A0A8U0LTT9	102	EGF domain peptide family	Disulfide bond;EGF-like domain;Neurotoxin;Secreted;Signal;Toxin
A0A8U0LTY4	79		Amidation;Secreted;Signal;Toxin
A0A8U0LU66	103	EGF domain peptide family	Disulfide bond;EGF-like domain;Neurotoxin;Secreted;Signal;Toxin
A0ASK0	54	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 14 subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
A0F0C2	86	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
A0FKN6	264		Disulfide bond;Glycoprotein;Hydrolase;Metal-binding;Metalloprotease;Protease;Secreted;Signal;Toxin;Zinc
A0RZC6	1651	Venom complement C3 homolog family	Cleavage on pair of basic residues;Complement system impairing toxin;Disulfide bond;Glycoprotein;Inflammatory response;Magnesium;Metal-binding;Secreted;Signal;Toxin
A0S864	109	Three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
A0S865	111	Three-finger toxin family, Ancestral subfamily, Boigatoxin sub-subfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
